Unnamed: 0;station;lat;long;entidad;FreqInf;AO;Altitud
389;2612500211;4.58083333;-75.86416667;CRQ;h;;991
390;2612500212;4.66916667;-75.61583333;CRQ;h;;1989
391;2612500213;4.625;-75.68805556;CRQ;h;;1610
392;2612500214;4.3575;-75.73666667;CRQ;h;;1553
393;2612500215;4.50777778;-75.66027778;CRQ;h;;1471
394;2613500126;4.885680556;-75.55808056;IDEAM;h;9;2106
395;2614500112;5.275944444;-75.80016667;IDEAM;h;9;1990
396;2614500116;5.593375;-75.79639778;IDEAM;h;1;2141
397;2615500122;5.017777778;-75.35658333;IDEAM;h;9;3315
398;2621500070;7.161433333;-75.76288611;IDEAM;h;1;1813
399;2701500105;6.483830556;-75.34583056;IDEAM;h;1;2233
400;2702500107;6.900555556;-75.32601944;IDEAM;h;1;1748
401;2801500078;10.86030556;-73.11422222;IDEAM;h;5;493
402;2802500079;10.08869444;-73.73166667;IDEAM;h;5;121
403;2804500076;10.41519444;-73.64355556;IDEAM;h;5;977
404;2805500075;9.238138889;-73.51291667;IDEAM;h;5;65
405;2901500072;9.672419444;-75.23645833;IDEAM;h;2;342
406;2904000176;10.98525;-74.81592778;IDEAM;;2;96
407;2904000177;11.004;-74.82400833;IDEAM;min;2;115
408;2906500077;10.77175;-74.01913889;IDEAM;h;5;1064
409;3206500045;3.444291;-73.743678;IDEAM;h;3;316
410;3206500058;3.51827;-74.00627;IDEAM;h;3;650
411;3206500059;3.09993;-73.73376;IDEAM;h;3;292
412;3503500062;4.3502;-73.71152;IDEAM;h;3;2014
413;3505500061;4.51;-73.34999722;IDEAM;h;3;537
414;3507500046;4.97608;-73.48264;IDEAM;h;6;1580
415;3507500133;5.44166;-73.55215;IDEAM;h;6;3352
416;3518500127;4.987080556;-72.8651;IDEAM;h;6;807
417;3526500201;5.480888889;-70.42130556;IDEAM;h;3;114
418;3701500114;7.401216667;-72.550275;IDEAM;h;8;2590
419;3701500117;7.40122;-72.55028;IDEAM;h;8;2590
420;3702500113;7.099138889;-72.30041944;IDEAM;h;8;1483
421;3706500109;7.063780556;-70.73308056;IDEAM;h;8;128
422;5102500128;1.157833333;-77.9765;IDEAM;h;7;1832
423;5202500132;1.814141667;-76.78283333;IDEAM;h;7;2420
424;5205500123;1.054805556;-77.27025;IDEAM;h;7;2966
425;5311500056;3.848308333;-76.98701667;IDEAM;h;9;27
426;5311500121;3.645194444;-76.56475;IDEAM;h;9;1637
427;5311500147;3.890083333;-77.07033056;IDEAM;h;9;6
428;5311500149;3.884194444;-77.04938056;IDEAM;h;9;9
