;Station;lat;long;entidad;FreqInf;Observ;RASTERVALU;RegsNat;RP_ACP;LimInfRP
49;16025502;7.73916667;-72.78055278;CENICAFE;5T;;910;Andina;8;13.68987482
50;16025503;7.92316389;-72.83375556;CENICAFE;5T;;1740;Andina;8;13.68987482
51;16035010;8.638333333;-72.72666667;IDEAM;H;;57;Andina;8;13.68987482
52;16035030;8.076666667;-72.80305556;IDEAM;H;;308;Andina;8;13.68987482
53;16035501;8.15116944;-72.86776667;CENICAFE;5T;;1472;Andina;8;13.68987482
54;16040050;7.93485;-73.21358;IDEAM;H;;1918;Andina;8;13.68987482
55;16055120;8.22769;-73.3975;IDEAM;H;;1668;Andina;8;13.68987482
56;16055501;8.41249722;-73.33944167;CENICAFE;5T;;1246;Andina;8;13.68987482
57;17015010;12.587849;-81.701117;IDEAM;H;;;;;51.04528974
58;17017001;12.59930556;-81.68936083;INVEMAR;H;;;;;9.252101458
59;17025020;13.3595;-81.35772194;IDEAM;H;;;;;58.49150217
60;17035010;15.7975;-79.85222194;IDEAM;H;;;;;-66.88219796
61;21015030;1.888472222;-76.29497222;IDEAM;H;;1754;Andina;22;23.03727746
62;21015040;2.021583333;-76.11433333;IDEAM;H;;1895;Andina;22;23.03727746
63;21015050;1.925916667;-76.42755556;IDEAM;H;;1975;Andina;22;23.03727746
64;21015060;2.221111111;-76.11888889;IDEAM;H;;2210;Andina;22;23.03727746
65;21015070;1.675833;-76.106841;IDEAM;H;;1946;Andina;22;23.03727746
66;21015501;1.77752778;-76.19163889;CENICAFE;5T;;1515;Andina;22;23.03727746
67;21015502;1.85141667;-76.30433056;CENICAFE;5T;;1806;Andina;22;23.03727746
68;21025030;2.079166667;-75.73622222;IDEAM;H;;1339;Andina;22;23.03727746
69;21035040;1.87;-75.83;IDEAM;H;;1040;Andina;22;23.03727746
70;21035501;1.76319167;-75.93224722;CENICAFE;5T;;1396;Andina;22;23.03727746
71;21045010;2.281583333;-75.70508333;IDEAM;H;;782;Andina;19;9.770656205
72;21045501;2.04194167;-76.01191667;CENICAFE;5T;;1558;Andina;22;23.03727746
73;21050060;2.199055556;-75.97227778;IDEAM;H;;1542;Andina;22;23.03727746
74;21050090;2.551444444;-75.8065;IDEAM;H;;1573;Andina;19;9.770656205
75;21055020;2.38;-75.89;IDEAM;H;;1029;Andina;19;9.770656205
76;21055070;2.548194444;-76.06394444;IDEAM;H;;1872;Andina;19;9.770656205
77;21055501;2.34583056;-75.87805556;CENICAFE;5T;;1718;Andina;19;9.770656205
78;21065040;2.2525;-75.52944444;IDEAM;H;;1306;Andina;19;9.770656205
79;21065501;2.32555278;-75.50972222;CENICAFE;5T;;1429;Andina;19;9.770656205
80;21085030;2.76;-75.58;IDEAM;H;;1208;Andina;19;9.770656205
81;21085501;2.76299722;-75.61144167;CENICAFE;5T;;1595;Andina;19;9.770656205
82;21095010;2.828805556;-75.33116667;IDEAM;H;;488;Andina;19;9.770656205
83;21105030;2.52;-75.31999722;IDEAM;H;;997;Andina;19;9.770656205
84;21105040;2.696805556;-75.29888889;IDEAM;H;;666;Andina;19;9.770656205
85;21105050;2.603055556;-75.41833333;IDEAM;H;;592;Andina;19;9.770656205
86;21105501;2.59502778;-75.22852778;CENICAFE;5T;;1522;Andina;19;9.770656205
87;21115010;3.234472222;-75.16819444;IDEAM;H;;449;Andina;19;9.770656205
88;21115100;2.942638889;-75.06638889;IDEAM;H;;1181;Andina;19;9.770656205
89;21115170;2.759138889;-75.07455556;IDEAM;H;;2086;Andina;19;9.770656205
90;21115180;3.133055556;-75.08152778;IDEAM;H;;548;Andina;19;9.770656205
91;21115501;2.96066667;-75.02849722;CENICAFE;5T;;1361;Andina;19;9.770656205
92;21125010;2.935694444;-75.58905556;IDEAM;H;;1343;Andina;19;9.770656205
93;21130050;3.243555556;-75.25594444;IDEAM;H;;396;Andina;19;9.770656205
94;21135020;3.855833333;-75.01572222;IDEAM;H;;314;Andina;18;12.47396368
95;21140120;3.425861111;-74.92025;IDEAM;H;;1490;Andina;19;9.770656205
96;21145080;3.589777778;-74.70294444;IDEAM;H;;1471;Andina;19;9.770656205
97;21165501;3.53715556;-74.82982778;CENICAFE;5T;;1742;Andina;19;9.770656205
98;21165502;3.95564167;-74.59178611;CENICAFE;5T;;1363;Andina;19;9.770656205
99;21185030;4.008833333;-74.98138889;IDEAM;H;;324;Andina;18;12.47396368
100;21185080;4.216458333;-75.10461111;IDEAM;H;;585;Andina;18;12.47396368
101;21185090;4.188138889;-74.96047222;IDEAM;H;;368;Andina;18;12.47396368
102;21185501;4.26666667;-75.28305556;CENICAFE;5T;;1185;Andina;18;12.47396368
103;21195120;4.39292;-74.39272;IDEAM;H;;1423;Andina;15;6.64329611
104;21195160;4.476611111;-74.38388889;IDEAM;H;;2061;Andina;15;6.64329611
105;21195170;3.993611111;-74.39805556;IDEAM;H;;3059;Andina;19;9.770656205
106;21195190;4.307188889;-74.30839889;IDEAM;H;;2183;Andina;15;6.64329611
107;21195501;4.36305278;-74.43527778;CENICAFE;5T;;1517;Andina;15;6.64329611
108;21195502;4.14469167;-74.42774722;CAR;H;;1926;Andina;19;9.770656205
109;21197430;4.36666667;-74.3;CAR;H;;2427;Andina;15;6.64329611
110;21201200;4.34264;-74.18381;IDEAM;5T;10T hasta r 48510, luego 5T;3370;Andina;12;10.59585194
111;21201580;4.44647201;-74.154839;IDEAM;10T;A veces 5T;2961;Andina;12;10.59585194
112;21201980;4.59157;-74.05471;FOPAE;5T;10T hasta r 25325; luego 5T;Andina;15;6.64329611
113;21202170;4.56666667;-74.16666667;FOPAE;5T;Mezclado final 10T;2726;Andina;15;6.64329611
114;21202180;4.54311;-74.15601;FOPAE;5T;Mezclado final 10T;2925;Andina;15;6.64329611
115;21202200;4.575;-74.072;IDEAM;H;;2765;Andina;15;6.64329611
116;21202220;4.62789;-74.0587;FOPAE;5T;;2748;Andina;15;6.64329611
117;21202230;4.48152;-74.12708;FOPAE;5T;10T hasta r 47554, lugeo 5T;2745;Andina;12;10.59585194
118;21202240;4.63546;-74.05746;FOPAE;5T;;2728;Andina;15;6.64329611
119;21202250;4.50082;-74.13739;FOPAE;5T;10T hasta r 34675, lugeo 5T;2834;Andina;12;10.59585194
120;21205012;4.63723;-74.08892;IDEAM;H;;2551;Andina;15;6.64329611
121;21205480;5.03333333;-73.71666667;CAR;10T;;2704;Andina;15;6.64329611
122;21205501;4.71861111;-74.45527778;CENICAFE;5T;;1324;Andina;15;6.64329611
123;21205502;4.54499722;-74.44055556;CENICAFE;5T;;1530;Andina;15;6.64329611
124;21205503;4.52269444;-74.40608333;CAR;H;;2040;Andina;15;6.64329611
125;21205505;4.97011111;-73.91827778;CAR;H;;2551;Andina;15;6.64329611
126;21205506;5.02505556;-74.15277778;CAR;H;;3241;Andina;15;6.64329611
127;21205507;4.72988889;-74.43080556;CAR;H;;1670;Andina;15;6.64329611
128;21205509;4.39666778;-74.6283125;CAR;10T;10T hasta 2024-02-07, r 161761, luego :10, :20 y H;380;Andina;15;6.64329611
129;21205511;5.00111111;-73.73333333;CAR;10T;10T hasta 2024-03-11, r 170478, luego :10, :20 y H;2763;Andina;15;6.64329611
130;21205512;4.46931639;-74.07945417;CAR;10T;10T hasta 2024-02-14, r 165254, luego :10, :20 y H;3166;Andina;12;10.59585194
131;21205513;4.50457667;-74.18418667;CAR;10T;10T hasta 2024-04-30, r 162574, luego :10, :20 y H;3105;Andina;15;6.64329611
132;21205514;4.46931639;-74.07945417;CAR;10T;;3166;Andina;12;10.59585194
133;21205515;4.70028889;-74.17378611;CAR;10T;;2543;Andina;15;6.64329611
