CodEstacion,fecha_inicial,fecha_final
25025002,2013-05-15 13:00:00,2020-09-24 09:30:00
25025030,2014-09-09 01:00:00,2024-07-01 04:00:00
25025100,2022-01-17 13:00:00,2024-05-14 10:00:00
25025190,2016-12-28 18:00:00,2021-07-13 23:00:00
25025240,2020-11-25 19:00:00,2024-07-01 04:00:00
25025270,2023-09-14 17:00:00,2024-07-01 04:00:00
25025330,2016-12-21 15:00:00,2024-07-01 01:00:00
25025340,2011-05-23 01:00:00,2023-03-17 04:00:00
25025350,2005-01-01 05:08:00,2021-10-29 10:00:00
25025360,2010-08-19 15:00:00,2023-03-17 01:00:00
25025380,2014-10-03 19:00:00,2024-07-01 04:00:00
26015010,2006-11-25 12:00:00,2023-03-17 04:00:00
26015030,2008-11-21 17:00:00,2023-03-16 23:00:00
26035100,2005-11-11 16:00:00,2009-12-30 17:00:00
26055100,2006-11-22 13:00:00,2023-03-16 13:00:00
26055110,2005-06-10 17:00:00,2023-03-16 18:00:00
26055120,2005-01-01 05:47:00,2023-08-02 12:00:00
26075150,2014-08-22 15:00:00,2024-06-30 18:00:00
26085170,2006-11-23 16:00:00,2020-05-25 02:00:00
26095320,2005-06-10 17:00:00,2023-03-17 04:00:00
26105250,2005-06-10 20:00:00,2023-01-05 13:00:00
26125061,2016-07-18 12:00:00,2024-07-01 04:00:00
26125290,2005-05-17 10:00:00,2017-12-13 14:00:00
26125710,2014-12-08 15:00:00,2024-06-29 18:00:00
26125720,2018-04-25 19:00:00,2020-09-24 09:00:00
26125760,2018-05-03 13:00:00,2020-09-24 09:00:00
26135290,2005-05-14 19:00:00,2019-05-17 07:00:00
26135300,2005-05-15 18:00:00,2023-03-17 00:00:00
26145090,2005-10-26 01:00:00,2023-03-17 03:00:00
26155150,2018-09-26 16:43:00,2023-03-17 04:00:00
26155170,2017-04-22 09:00:00,2021-01-03 09:00:00
26155220,2005-05-22 18:00:00,2023-03-16 16:00:00
26155240,2007-11-16 18:00:00,2022-09-08 13:00:00
26155270,2016-11-07 10:50:00,2016-11-07 10:50:00
26180180,2017-04-30 16:00:00,2021-02-25 16:00:00
26180250,2017-06-29 15:00:00,2023-03-17 04:00:00
26185020,2024-04-23 15:00:00,2024-04-24 14:00:00
26200120,2024-04-24 15:00:00,2024-04-24 16:00:00
27015280,2005-05-15 10:00:00,2023-06-11 11:00:00
27015300,2012-06-12 01:00:00,2014-08-13 09:00:00
27015310,2005-06-14 16:00:00,2022-10-19 17:00:00
27015330,2014-12-03 15:00:00,2024-07-01 04:00:00
28015070,2022-06-12 14:00:00,2024-07-01 04:00:00
28015110,2016-12-27 15:00:00,2019-02-25 02:00:00
28025090,2022-01-12 15:00:00,2024-05-29 00:00:00
28025120,2007-03-22 16:00:00,2019-10-06 11:00:00
28025130,2022-06-10 11:00:00,2022-08-23 19:00:00
28025502,2016-07-12 14:00:00,2024-07-01 04:00:00
28035060,2005-08-06 10:00:00,2023-03-17 04:00:00
28035070,2017-02-14 18:00:00,2023-03-17 04:00:00
29004520,2006-10-10 09:00:00,2023-03-17 04:00:00
29015000,2013-05-16 19:00:00,2023-08-20 09:00:00
29035000,2013-05-17 11:00:00,2023-03-17 01:00:00
29035080,2016-12-28 19:00:00,2023-03-17 04:00:00
29045000,2013-05-07 14:00:00,2024-07-01 04:00:00
29045110,2022-01-18 17:00:00,2024-06-15 03:00:00
29045150,2005-05-16 09:00:00,2010-01-31 15:00:00
29045180,2017-10-01 16:00:00,2017-10-03 05:00:00
29045190,2013-05-07 18:00:00,2024-07-01 04:00:00
29065000,2013-12-19 18:00:00,2022-11-26 10:00:00
29065140,2017-03-07 16:00:00,2019-10-28 12:00:00
31095030,2005-07-01 19:00:00,2024-07-01 04:00:00
32067030,2016-09-01 04:10:00,2016-09-27 17:40:00
32105080,2005-08-07 12:00:00,2022-05-25 13:00:00
33035010,2019-04-03 12:00:00,2024-06-20 10:00:00
35017020,2016-09-01 02:00:00,2016-09-01 02:10:00
35020300,2021-09-22 20:00:00,2024-07-01 04:00:00
35025080,2007-11-16 16:00:00,2023-03-17 04:00:00
35025110,2011-05-25 18:00:00,2023-03-11 00:00:00
35025502,2018-10-29 15:00:00,2024-07-01 04:00:00
35027510,2016-09-01 03:10:00,2016-09-27 14:00:00
35035100,2007-03-15 09:00:00,2023-03-17 04:00:00
35035130,2010-08-05 08:00:00,2023-03-10 21:00:00
35037100,2016-09-01 04:20:00,2016-09-01 04:20:00
35060210,2023-02-17 12:00:00,2024-07-01 04:00:00
35075040,2023-08-17 13:00:00,2024-05-27 15:00:00
35075070,2017-01-01 10:00:00,2023-03-17 04:00:00
35075080,2006-08-27 18:00:00,2023-03-17 04:00:00
35075090,2018-10-29 15:00:00,2024-07-01 04:00:00
